header,col
agecat,
county_fips,
geocat,
iprcat,
name,
nic,
nic_moe,
nipr,
nipr_moe,
nui,
nui_moe,
pctic,
pctic_moe,
pctui,
pctui_moe,
racecat,
sexcat,
state_fps,
stcou,
year,
